PO_ID     ,PARTNER_GUID_NODE_KEY            ,CURRENCY_CODE,GROSS_AMOUNT        ,NET_AMOUNT          ,TAX_AMOUNT          ,LIFECYCLE_STATUS,OVERALL_STATUS
300000000,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,"3,913.91","3,289.00",624.91,N               ,P             
300000001,74867AD200E41EDBA5D8B06885AE0052  ,EUR          ,"43,534.96","36,584.00","6,950.96",N               ,P             
300000002,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,"18,142.74","15,246.00","2,896.74",N               ,P             
300000003,74867AD200E41EDBA5D8B06885ACA052  ,EUR          ,"6,251.07","5,253.00",998.07,N               ,P             
300000004,74867AD200E41EDBA5D8B06885AB8052  ,EUR          ,"4,467.94","3,754.57",713.37,N               ,P             
300000005,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,"6,362.89","5,346.96","1,015.93",N               ,P             
300000006,74867AD200E41EDBA5D8B06885AD2052  ,EUR          ,"4,348.26","3,654.00",694.26,N               ,P             
300000007,74867AD200E41EDBA5D8B06885AFE052  ,EUR          ,"1,857.50","1,560.92",296.58,N               ,P             
300000008,74867AD200E41EDBA5D8B06885AD0052  ,EUR          ,"2,791.74","2,346.00",445.74,N               ,P             
300000009,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,"1,427.76","1,199.80",227.96,N               ,P             
300000010,74867AD200E41EDBA5D8B06885AD6052  ,EUR          ,"7,261.38","6,102.00","1,159.38",N               ,P             
300000011,74867AD200E41EDBA5D8B06885AF8052  ,EUR          ,475.52,399.6,75.92,N               ,P             
300000012,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,"15,621.13","13,127.00","2,494.13",N               ,P             
300000013,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,"6,320.04","5,310.95","1,009.09",N               ,P             
300000014,74867AD200E41EDBA5D8B06885AF6052  ,EUR          ,239.19,201,38.19,N               ,P             
300000015,74867AD200E41EDBA5D8B06885ACC052  ,EUR          ,"13,075.83","10,988.10","2,087.73",N               ,P             
300000016,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,"1,942.08","1,632.00",310.08,N               ,P             
300000017,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,117.8,98.99,18.81,N               ,P             
300000018,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,"19,813.50","16,650.00","3,163.50",N               ,P             
300000019,74867AD200E41EDBA5D8B06885AB8052  ,EUR          ,"8,448.47","7,099.56","1,348.91",N               ,P             
300000020,74867AD200E41EDBA5D8B06885AFA052  ,EUR          ,"3,980.08","3,344.60",635.48,N               ,P             
300000021,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,"7,625.52","6,408.00","1,217.52",N               ,P             
300000022,74867AD200E41EDBA5D8B06885AD0052  ,EUR          ,"1,535.10","1,290.00",245.1,N               ,P             
300000023,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,"1,624.35","1,365.00",259.35,N               ,P             
300000024,74867AD200E41EDBA5D8B06885AC0052  ,EUR          ,"13,781.39","11,581.00","2,200.39",N               ,P             
